,Mean Test RMSE,Final AICc,Gas,Model Name
0,211.11845954485813,3355.023955431675,CO,ExpSmoothingModel-CO
1,204.2222151256167,3340.2417472254806,NMHC,ExpSmoothingModel-NMHC
2,210.03919110710177,3388.009431208641,NOx,ExpSmoothingModel-NOx
3,325.5000943821248,3608.997874271273,O3,ExpSmoothingModel-O3
4,191.3146992305437,4361.402100682572,CO,"SARIMAX-(0, 0, 2)-(1, 0, 0, 7)-CO-c"
5,179.827333871073,4293.559224044173,NMHC,"SARIMAX-(0, 0, 0)-(2, 0, 2, 8)-NMHC-c"
6,188.1743433004873,4296.300274749259,NOx,"SARIMAX-(1, 0, 2)-(2, 0, 0, 21)-NOx-ct"
7,290.5087503804342,4453.037354242611,O3,"SARIMAX-(1, 0, 2)-(2, 0, 2, 14)-O3-c"
8,211.11845954485813,3355.023955431675,CO,ExpSmoothingModel-CO
9,204.2222151256167,3340.2417472254806,NMHC,ExpSmoothingModel-NMHC
10,210.03919110710177,3388.009431208641,NOx,ExpSmoothingModel-NOx
11,325.5000943821248,3608.997874271273,O3,ExpSmoothingModel-O3
12,203.78085227780127,4235.842232862821,CO,"ARIMA-(1, 0, 0)-CO"
13,184.3751305795372,4207.303345164627,NMHC,"ARIMA-(1, 0, 0)-NMHC"
14,186.6831134174914,4237.60216220971,NOx,"ARIMA-(0, 1, 2)-NOx"
15,292.1459830233922,4471.038996760481,O3,"ARIMA-(0, 1, 2)-O3"
16,188.42544244825007,4158.156762601898,CO,"SARIMA-(1, 0, 0)-(0, 1, 2, 7)-CO"
17,171.129334919658,4080.273083835976,NMHC,"SARIMA-(1, 0, 0)-(0, 1, 2, 7)-NMHC"
18,185.35385466014333,4164.918746965931,NOx,"SARIMA-(0, 0, 2)-(0, 1, 2, 7)-NOx"
19,268.42696863279895,4362.025870873305,O3,"SARIMA-(0, 0, 2)-(0, 1, 2, 7)-O3"
20,192.10632628598245,4207.460871694308,CO,"ARIMAX-(1, 0, 0)-CO"
21,183.1805920370504,4196.138547125005,NMHC,"ARIMAX-(1, 0, 0)-NMHC"
22,187.10766152131765,4235.024341939451,NOx,"ARIMAX-(0, 1, 2)-NOx"
23,301.36816602490893,4461.747129408897,O3,"ARIMAX-(0, 1, 2)-O3"
24,180.20877817530663,4126.668641669878,CO,"SARIMAX-(1, 0, 0)-(0, 1, 2, 7)-CO"
25,177.4725860167281,4066.5278682814255,NMHC,"SARIMAX-(1, 0, 0)-(0, 1, 2, 7)-NMHC"
26,191.1674234392552,4155.154202340593,NOx,"SARIMAX-(0, 0, 2)-(0, 1, 2, 7)-NOx"
27,286.66478611228297,4346.931291185863,O3,"SARIMAX-(0, 0, 2)-(0, 1, 2, 7)-O3"
28,184.0946471537376,4201.274534558202,CO,"ARIMAX-(0, 1, 2)-CO"
29,186.8693376928236,4188.364641588692,NMHC,"ARIMAX-(0, 1, 2)-NMHC"
30,187.10766152131765,4235.024341939451,NOx,"ARIMAX-(0, 1, 2)-NOx"
31,301.36816602490893,4461.747129408897,O3,"ARIMAX-(0, 1, 2)-O3"
