,Model Name,Mean Test RMSE,Difference in RMSE,Final AICc,Gas
0,ExpSmoothingModel-CO,306.8442467443747,-183.54569096841416,3352.278834148846,CO
1,ExpSmoothingModel-NMHC,249.2595035769174,-129.3663914430385,3288.2069889821005,NMHC
2,ExpSmoothingModel-NOx,291.41150401217294,-151.6457079870244,3378.1374657288047,NOx
3,ExpSmoothingModel-O3,420.3748630851976,-223.43514408953675,3589.365663354228,O3
4,"ARIMA-(1, 0, 0)-CO",203.2807726382361,-85.84737238885941,4213.7968900052365,CO
5,"ARIMA-(1, 0, 1)-NMHC",177.2026172256669,-60.39893330858784,4188.780296345108,NMHC
6,"ARIMA-(1, 0, 0)-NOx",201.68595698098088,-72.75867619303415,4240.520784245057,NOx
7,"ARIMA-(1, 0, 0)-O3",283.9466146851711,-102.31003958272456,4469.6113077556365,O3
8,"SARIMA-(1, 0, 0)-None-CO",270.26891175970235,-96.5290814784084,4280.269100406213,CO
9,"SARIMA-(1, 0, 0)-(0, 0, 3, 7)-NMHC",489.1074752342132,-338.7202672267358,4244.135589788945,NMHC
10,"SARIMA-(1, 0, 0)-(0, 0, 2, 7)-NOx",397.3218327008609,-217.4100885528397,4315.046524945001,NOx
11,"SARIMA-(1, 0, 0)-(0, 0, 2, 7)-O3",657.1002587204592,-442.0098347085342,4522.475771481864,O3
12,"ARIMAX-(1, 0, 0)-CO",193.2747723356571,-83.10536041802224,4173.57574330971,CO
13,"ARIMAX-(1, 0, 0)-NMHC",173.3839852746323,-56.77628009218206,4165.727417701467,NMHC
14,"ARIMAX-(1, 0, 0)-NOx",200.5192659954317,-72.47891180984736,4237.772199963042,NOx
15,"ARIMAX-(1, 0, 0)-O3",297.8958809297686,-120.0239283536992,4456.111368623002,O3
16,"SARIMAX-(1, 0, 0)-None-CO",219.02672106342607,-61.62123275256788,4245.392791505062,CO
17,"SARIMAX-(1, 0, 0)-(0, 0, 3, 7)-NMHC",328.3151971181071,-181.5305642877952,4232.4956180135705,NMHC
18,"SARIMAX-(1, 0, 0)-(0, 0, (1, 3), 7)-NOx",343.25661123575645,-173.92601156744607,4305.9426877255,NOx
19,"SARIMAX-(1, 0, 0)-(0, 0, (1, 3), 7)-O3",400.9005042959398,-191.4770141239877,4502.356742229561,O3
20,"ARIMA-STL-(1, 0, 0)-CO",214.60560191191968,-120.11980467908111,,CO
21,"ARIMA-STL-(1, 0, 0)-NMHC",172.88158264945108,-90.4238686387549,,NMHC
22,"ARIMA-STL-(1, 0, 0)-NOx",213.7786952319629,-116.45289943180131,,NOx
23,"ARIMA-STL-(1, 0, 0)-O3",279.74525409136174,-151.54564062862454,,O3
24,"ARIMA-(1, 0, 3)-CO",201.4445295296306,-87.42199890856773,4216.452891695699,CO
25,"ARIMA-(1, 0, 2)-NMHC",177.08755033788617,-60.90831596846685,4190.730392973072,NMHC
26,"ARIMA-(1, 0, 2)-NOx",196.67184784927645,-70.08808323925014,4240.378486735928,NOx
27,"ARIMA-(1, 0, 2)-O3",284.7098775491484,-109.09547832585012,4465.495575510939,O3
28,"ARIMA-(2, 0, 3)-CO",200.3574094619624,-86.82179677276253,4217.635000924013,CO
29,"ARIMA-(1, 0, 2)-NMHC",177.08755033788617,-60.90831596846685,4190.730392973072,NMHC
30,"ARIMA-(1, 0, 2)-NOx",196.67184784927645,-70.08808323925014,4240.378486735928,NOx
31,"ARIMA-(1, 0, 2)-O3",284.70987754914836,-109.09547832585012,4465.495575510939,O3
