,Model Name,Mean Test RMSE,Difference in RMSE,Final AICc,Gas
0,ExpSmoothingModel-CO,211.11845954485813,-78.84732869966234,3355.023955431675,CO
1,ExpSmoothingModel-NMHC,204.2222151256167,-15.699564701612246,3340.2417472254806,NMHC
2,ExpSmoothingModel-NOx,210.03919110710177,-58.31292036690496,3388.009431208641,NOx
3,ExpSmoothingModel-O3,325.5000943821248,-144.62785840870362,3608.997874271273,O3
4,"ARIMA-(1, 0, 0)-CO",203.78085227780127,-87.19202085588799,4235.842232862821,CO
5,"ARIMA-(1, 0, 0)-NMHC",184.3751305795372,-52.89990080750468,4207.303345164627,NMHC
6,"ARIMA-(0, 1, 2)-NOx",186.6831134174914,-72.2073142281277,4237.60216220971,NOx
7,"ARIMA-(0, 1, 2)-O3",292.1459830233922,-183.2204640372913,4471.038996760481,O3
8,"SARIMA-(1, 0, 0)-None-CO",273.3283367506547,-150.07752062243642,4308.575996925448,CO
9,"SARIMA-(1, 0, 0)-(0, 0, 3, 7)-NMHC",499.25619582533966,-346.1559247290133,4259.531484173526,NMHC
10,"SARIMA-(0, 0, 2)-(0, 0, 3, 7)-NOx",729.0904558949193,-489.7204329681176,4557.095394195422,NOx
11,"SARIMA-(0, 0, 2)-(4, 0, 0, 7)-O3",281.86708723070853,-176.84352271906278,4511.363271882202,O3
